Tissue,Disease,Species,symbol,ID,Platform,Type,Expression,Target,Pathway,Method,Drug,Function,PMID,Title,Year
kidney,diabetic_nephropathy,homo_sapiens,PAQR9,344838,Gene,mRNA,up-regulation,NRF2;HO-1,NF-KAPPA B SIGNALING PATHWAY,qPCR; dual-luciferase reporter assay,no,"BLNC1 can affect inflammation, oxidative stress and renal fibrosis by NRF2/HO-1 and NF-KB pathways in diabetic nephropathies(dn).",31632538,LncRNA Blnc1 expression and its effect on renal fibrosis in diabetic nephropathy,2019
kidney,diabetic_nephropathy,homo_sapiens,ZEB1,6935,Gene,mRNA,down-regulation,BMP7,TGF-BETA SIGNALING PATHWAY,qPCR;  dual-luciferase reporter assay,no,LncRNA ZEB1-AS1 inhibited high glucose-induced epithelial-mesenchymal transition (EMT) and fibrogenesis via regulating miR-216a-5p/bmp7 axis in diabetic nephropathy.,32294702,LncRNA ZEB1-AS1 inhibits high glucose-induced EMT and fibrogenesis by regulating the miR-216a-5p/BMP7 axis in diabetic nephropathy,2020
liver,liver_cirrhosis,homo_sapiens,HOTAIR,100124700,Gene,mRNA,dna methylation,PTEN,ERK; PI3K-AKT SIGNALING PATHWAY,RT-PCR;  dual-lucimmunofluorescenceerase reporter assay etc.,no,A histone deacetylase-4-dependent mechanism underlies the epigenetic silencing of mmp genes during tissue fibrogenesis.,28129115,HOTAIR Epigenetically Modulates PTEN Expression via MicroRNA-29b: A Novel Mechanism in Regulation of Liver Fibrosis,2017
liver,hepatitis,homo_sapiens,IGF2,3481,Gene,mRNA,igf2 methylation,IGF2,NA,methylation analysis; dna extraction;  bisulfite treatment of dna etc.,no,Angiogenic factor with g patch and fha domains 1 (aggf1) regulates liver fibrosis by modulating tgf-b signaling.,22902352,Insulin-like growth factor 2 gene methylation in peripheral blood mononuclear cells of patients with hepatitis C related cirrhosis or hepatocellular carcinoma,2012
liver,liver_cirrhosis,homo_sapiens,ASH1L,55870,Gene,mRNA,histone methylation,ASH1,NA,qRT-PCR; xmiRNA microarray chip detection etc.,no,"Curcumin can up-regulate mir-29b expression, resulting in dnmt3b down-regulation in hscs and epigenetically-regulated pten involved in the suppression of activated hscs.",22488473,Histone methyltransferase ASH1 orchestrates fibrogenic gene transcription during myofibroblast transdifferentiation,2012
liver,liver_cirrhosis,homo_sapiens,SIRT3,23410,Gene,mRNA,hyperacetylation of glycogen synthase kinase 3b (gsk3b),GSK3B,TGF-BETA SIGNALING PATHWAY,NA,no,"Ethanol caused dose and time-dependent increase in acetylation of histone h3 at lys9, but not at lys14 or lys18. Compared with hepatocytes the ac-h3-lys9 in hscs required longer ethanol exposure. Levels of me-h3-lys9 seemed to remain unaltered. Thus increase in ac-h3-lys9 represents a nuclear-chromatin modification event in hscs exposed to ethanol.",26667039,SIRT3 Blocks Aging-Associated Tissue Fibrosis in Mice by Deacetylating and Activating Glycogen Synthase Kinase 3B,2015
liver,liver_cirrhosis,homo_sapiens,SOCS1,8651,Gene,mRNA,socs1 methylation,SOCS1,TGF-BETA SIGNALING PATHWAY,RT-PCR;  immunohistostaining etc.,no,Genetic and pharmacologic disruptions of mecp2 or ezh2 reduced the fibrogenic characteristics of myofibroblasts and attenuated fibrogenesis.,15197228,SOCS1 is a suppressor of liver fibrosis and hepatitis-induced carcinogenesis,2004
liver,liver_cirrhosis,homo_sapiens,CFTR,1080,Gene,mRNA,histone deacetylase,CFTR,WNT SIGNALING PATHWAY,miRNA microarray chip detection analysis; qmiRNA microarray chip detection; immunoblotting etc.,no,Hdac2 may play a pivotal role in hscs activation and liver fibrosis while deregulation of hdacs may serve as a novel mechanism underlying liver fibrosis.,17848139,The epigenetic signature of CFTR expression is co-ordinated via chromatin acetylation through a complex intronic element,2007
liver,liver_cirrhosis,homo_sapiens,H2AC20,8338,Gene,mRNA,dna methylation,H2A,NA,in vivo electroporation; immunostaining; quantimmunofluorescenceication,no,"Reveals a new cross histone crosstalk, including h2a ubiquitin change control of h3k4 methylation and methylation, lead to the regulation of transcription initiation.",18172164,Deubiquitylation of histone H2A activates transcriptional initiation via trans-histone cross-talk with H3K4 di- and trimethylation,2008
liver,non-alcoholic_fatty_liver_disease,homo_sapiens,PPP1CC,5501,Gene,mRNA,phosphatase pp1c,PP1C,PHOSPHO-EIF-2A KINASE-MEDIATED STRESS,immunoprecipitation; immunoblot etc.,no,Sirt2;Erk;C-myc axis in promoting hepatic fibrogenesis. Inhibition of the sirt2;Erk;C-myc axis represents a novel strategy to prevent and to potentially treat liver fibrosis and cirrhosis.,25888330,"Hepatocyte Nicotinamide Adenine Dinucleotide Phosphate Reduced Oxidase 4 Regulates Stress Signaling, Fibrosis, and Insulin Sensitivity During Development of Steatohepatitis in Mice",2015
liver,liver_cirrhosis,homo_sapiens,SIRT2,22933,Gene,mRNA,histone deacetylase,SIRT2,NA,qRT-PCR; immunofluorescence;  etc.,no,"Sumoylation of nrf2 and mafg enhances heterodimerization and increases gclc expression, which keeps hscs in a quiescent state. Antifibrotic agents require activation of gclc to fully exert their protective effect.",27125275,Inhibition of SIRT2 suppresses hepatic fibrosis,2016
liver,liver_cirrhosis,homo_sapiens,CREB1,1385,Gene,mRNA,creb-1 phosphorylation,NA,TGF-BETA SIGNALING PATHWAY,RT-PCR;  dual-lucimmunofluorescenceerase reporter assay etc.,no,"The increase in opn induces hmgb1, which acts as a downstream alarmin driving collagen-i synthesis in hscs.",27840939,Post translational modification of creb-1 decreases collagen I expression by inhibiting the TGF B1 signaling pathway in rat hepatic stellate cells,2016
lung,Hypertension_Pulmonary,homo_sapiens,EDN1,1906,Gene,mRNA,down-regulation,ET-1; TGFBR1,NA,qRT-PCR;  ELISA etc.,no,"35 MicroRNAs were differentially expressed in CTEPH patients, among which, a signature of 17 microRNAs was shown to be related to the disease pathogenesis by in silico analysis. Let-7b, one of the down-regulated anti-oncogenic microRNAs in the signature, was validated to decrease in CTEPH patients. ET-1 and TGFBR1 were direct targets of let-7b. Altering let-7b level influenced ET-1 and TGFBR1 expression in pulmonary arterial endothelial cells (PAECs) as well as the migration of PAECs and pulmonary arterial smooth muscle cells (PASMCs). CTEPH patients had aberrant microRNA signature which might provide some clue for pathogenesis study and biomarker screening. Reduced let-7b might be involved in the pathogenesis of CTEPH by affecting ET-1 expression and the function of PAECs and PASMCs.",24978044,Differentially Expressed Plasma MicroRNAs and the Potential Regulatory Function of Let-7b in Chronic Thromboembolic Pulmonary Hypertension,2014
lung,Hypertension_Pulmonary,homo_sapiens,TGFBR1,7046,Gene,mRNA,down-regulation,ET-1; TGFBR1,NA,qRT-PCR;  ELISA etc.,no,"35 MicroRNAs were differentially expressed in CTEPH patients, among which, a signature of 17 microRNAs was shown to be related to the disease pathogenesis by in silico analysis. Let-7b, one of the down-regulated anti-oncogenic microRNAs in the signature, was validated to decrease in CTEPH patients. ET-1 and TGFBR1 were direct targets of let-7b. Altering let-7b level influenced ET-1 and TGFBR1 expression in pulmonary arterial endothelial cells (PAECs) as well as the migration of PAECs and pulmonary arterial smooth muscle cells (PASMCs). CTEPH patients had aberrant microRNA signature which might provide some clue for pathogenesis study and biomarker screening. Reduced let-7b might be involved in the pathogenesis of CTEPH by affecting ET-1 expression and the function of PAECs and PASMCs.",24978044,Differentially Expressed Plasma MicroRNAs and the Potential Regulatory Function of Let-7b in Chronic Thromboembolic Pulmonary Hypertension,2014
lung,Hypertension_Pulmonary,homo_sapiens,FGA,2243,Gene,mRNA,dysregulation,NA,NA,Dual-luciferase reporter assay;  etc.,no,"A deletion/insertion (Del/Ins) polymorphism of 28 base pairs (bp) in the 3' untranslated region (UTR) of fibrinogen alpha gene (FGA) was associated with thromboembolic diseases. The expression of FGA was regulated by miR-759 through its interaction at the polymorphic 3'UTR sequence, which was associated with the susceptibility to CTEPH. And the effect of miR-759 was stronger on the Ins allele than on the Del allele.",20677013,Susceptibility to chronic thromboembolic pulmonary hypertension may be conferred by miR-759 via its targeted interaction with polymorphic fibrinogen alpha gene,2010
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SERPINE1,5054,Gene,mRNA,up-regulation,NA,NA,AEC purification; A549 cell wounding assay; Bleomycin exposure etc.,no,Accentuated impairment of plasminogen activation through PAI-1 overexpression leads to exuberant fibrosis after lung injury.,15308506,Plasminogen activator inhibitor-1 impairs alveolar epithelial repair by binding to vitronectin,2004
lung,pulmonary_arterial_hypertension,homo_sapiens,BMP2,650,Gene,mRNA,up-regulation,NA,NA,PKC activity; qRT-PCR;  etc.,no,"An imbalance of bone morphogenetic protein-2/endothelin-1 systems may contribute to the progression of lung fibrosis, and to vascular remodeling in PAH.",21659661,Opposing effects of bone morphogenetic protein-2 and endothelin-1 on lung fibroblast chloride currents,2011
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,COL1A2,1278,Gene,mRNA,up-regulation,NA,NA,qRT-PCR; ELISA;  etc.,no,"As expected, COL1A2, MMP1, and MMP7 were significantly higher and AGER was significantly lower in IPF and IPF-AEx compared with control samples, but there was no significant difference in their expression between IPF and IPF-AEx.",19363140,Gene expression profiles of acute exacerbations of idiopathic pulmonary fibrosis,2009
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MMP1,4312,Gene,mRNA,up-regulation,NA,NA,qRT-PCR; ELISA;  etc.,no,"As expected, COL1A2, MMP1, and MMP7 were significantly higher and AGER was significantly lower in IPF and IPF-AEx compared with control samples, but there was no significant difference in their expression between IPF and IPF-AEx.",19363140,Gene expression profiles of acute exacerbations of idiopathic pulmonary fibrosis,2009
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,AGER,177,Gene,mRNA,down-regulation,NA,NA,qRT-PCR; ELISA;  etc.,no,"As expected, COL1A2, MMP1, and MMP7 were significantly higher and AGER was significantly lower in IPF and IPF-AEx compared with control samples, but there was no significant difference in their expression between IPF and IPF-AEx.",19363140,Gene expression profiles of acute exacerbations of idiopathic pulmonary fibrosis,2009
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,DEFA4,1669,Gene,mRNA,up-regulation,NA,NA,Pulmonary function testing; Quality characterization; Gene ontology and functional network analysis etc.,no,"Between the mild and severe IPF cohort , and between normal and severe disease, there is up-regulation of several other host defense genes including defensin A4 (DEFA4), cathelicidin antimicrobial peptide (CAMP), cathespin G (CTSG), and down-regulation of immunoglobulin heavy chain constant mu (IGHM).",22761659,The peripheral blood transcriptome identifies the presence and extent of disease in idiopathic pulmonary fibrosis,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CAMP,820,Gene,mRNA,up-regulation,NA,NA,Pulmonary function testing; Quality characterization; Gene ontology and functional network analysis etc.,no,"Between the mild and severe IPF cohort , and between normal and severe disease, there is up-regulation of several other host defense genes including defensin A4 (DEFA4), cathelicidin antimicrobial peptide (CAMP), cathespin G (CTSG), and down-regulation of immunoglobulin heavy chain constant mu (IGHM).",22761659,The peripheral blood transcriptome identifies the presence and extent of disease in idiopathic pulmonary fibrosis,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CTSG,1511,Gene,mRNA,up-regulation,NA,NA,Pulmonary function testing; Quality characterization; Gene ontology and functional network analysis etc.,no,"Between the mild and severe IPF cohort , and between normal and severe disease, there is up-regulation of several other host defense genes including defensin A4 (DEFA4), cathelicidin antimicrobial peptide (CAMP), cathespin G (CTSG), and down-regulation of immunoglobulin heavy chain constant mu (IGHM).",22761659,The peripheral blood transcriptome identifies the presence and extent of disease in idiopathic pulmonary fibrosis,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCL8,6355,Gene,mRNA,up-regulation,NA,CYTOKINE-CYTOKINE RECEPTOR INTERACTION signaling pathway,qRT-PCR; ELISA; Immunofluorescence etc.,no,CCL8 is a candidate molecule for the differential diagnosis and prediction of survival.,28057004,Gene profile of fibroblasts identify relation of CCL8 with idiopathic pulmonary fibrosis,2017
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SFTPA1,653509,Gene,mRNA,up-regulation,NA,NA,"Change in FVC and DLco, and definition of deterioration; Changes in SP-A, SP-D, and KL-6; Statistical analysis etc.",no,Changes in serum SP-A reflected the outcomes of anti-fibrotic drug therapy. Serum SP-A has a potential as a biomarker of therapeutic outcomes of anti-fibrotic drugs.,32005219,Surfactant protein A as a biomarker of outcomes of anti-fibrotic drug therapy in patients with idiopathic pulmonary fibrosis,2020
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,DNMT1,1786,Gene,mRNA,dysregulation,NA,NA,qRT-PCR; Examination of DNA methylation patterns; Dual-luciferase reporter assay etc.,no,"Compared with control samples, miR-17~92 expression was reduced in lung biopsies and lung fibroblasts from patients with IPF, whereas DNMT-1 expression and methylation of the miR-17~92 promoter was increased. Several miRNAs from the miR-17~92 cluster targeted DNMT-1 expression resulting in a negative feedback loop. Similarly, miR-17~92 expression was reduced in the lungs of bleomycin-treated mice. Treatment with 5'-aza-2'-deoxycytidine in a murine bleomycin-induced pulmonary fibrosis model reduced fibrotic gene and DNMT-1 expression, enhanced miR-17~92 cluster expression, and attenuated pulmonary fibrosis.",23306545,Epigenetic regulation of miR-17~92 contributes to the pathogenesis of pulmonary fibrosis,2013
lung,pulmonary_hypertension,homo_sapiens,CDKN1A,1026,Gene,mRNA,dna methylation,NA,NA,BrdU incorporation assay; qRT-PCR;  etc.,no,"Compared with controls, in high-altitude long-term hypoxia(LTH)fetus pulmonary arteries,global histone 4 acetylation and DNA methylation levels are reduced, accompanied by the loss of the cyclin-dependent kinase inhibitor p21. Treatment of LTH fetal PASMCs with histone deacetylase (HDAC) inhibitor trichostatin A decreased their proliferation rate, PDGF-induced cell migration, ERK1/2 activation and modulated global DNA methylation. Epigenetic alterations (reduced histone acetylation and DNA methylation) caused by chronic hypoxia leads to fetal PASMC proliferation and vessel remodeling associated with vascular proliferative disease and that this process is regulated by p21.",23043075,Pulmonary artery smooth muscle cell proliferation and migration in fetal lambs acclimatized to high-altitude long-term hypoxia: role of histone acetylation,2012
lung,pulmonary_hypertension,homo_sapiens,CDKN1A,1026,Gene,mRNA,histone acetylation,NA,NA,BrdU incorporation assay; qRT-PCR;  etc.,no,"Compared with controls, in high-altitude long-term hypoxia(LTH)fetus pulmonary arteries,global histone 4 acetylation and DNA methylation levels are reduced, accompanied by the loss of the cyclin-dependent kinase inhibitor p21. Treatment of LTH fetal PASMCs with histone deacetylase (HDAC) inhibitor trichostatin A decreased their proliferation rate, PDGF-induced cell migration, ERK1/2 activation and modulated global DNA methylation. Epigenetic alterations (reduced histone acetylation and DNA methylation) caused by chronic hypoxia leads to fetal PASMC proliferation and vessel remodeling associated with vascular proliferative disease and that this process is regulated by p21.",23043075,Pulmonary artery smooth muscle cell proliferation and migration in fetal lambs acclimatized to high-altitude long-term hypoxia: role of histone acetylation,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,DHX58,79132,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IDO1,3602,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IFI44,10561,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CASP1,834,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PSMB9,5698,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PSMB10,5699,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SLC15A3,51296,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,UBA7,7318,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ASPA,443,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
